Series,ADF Stat,ADF p-value,ADF CV 1%,ADF CV 5%,ADF Result,KPSS Stat,KPSS p-value,KPSS Result,Integration Order
ADRO Level,2.3420,0.998980,-3.4316,-2.8621,Non-Stationary,4.9195,<0.05,Non-Stationary,I(1)
ADRO Δ¹,-11.9144,0.000000,-3.4316,-2.8621,Stationary,0.7560,<0.05,Non-Stationary,
ADRO Log Return,-70.2494,0.000000,-3.4316,-2.8621,Stationary,0.2270,<0.05,Stationary,
PTBA Level,-0.4399,0.903229,-3.4316,-2.8621,Non-Stationary,8.0567,<0.05,Non-Stationary,I(1)
PTBA Δ¹,-13.4552,0.000000,-3.4316,-2.8621,Stationary,0.1009,<0.05,Stationary,
PTBA Log Return,-12.5069,0.000000,-3.4316,-2.8621,Stationary,0.2371,<0.05,Stationary,
INDY Level,-2.2511,0.188227,-3.4316,-2.8621,Non-Stationary,1.6820,<0.05,Non-Stationary,I(1)
INDY Δ¹,-13.1830,0.000000,-3.4316,-2.8621,Stationary,0.0654,<0.05,Stationary,
INDY Log Return,-11.1988,0.000000,-3.4316,-2.8621,Stationary,0.1139,<0.05,Stationary,
ITMG Level,0.3017,0.977421,-3.4316,-2.8621,Non-Stationary,5.5611,<0.05,Non-Stationary,I(1)
ITMG Δ¹,-13.6765,0.000000,-3.4316,-2.8621,Stationary,0.2637,<0.05,Stationary,
ITMG Log Return,-13.3945,0.000000,-3.4316,-2.8621,Stationary,0.1003,<0.05,Stationary,
